ID_Analysis	Group	CAT_sum	ANI_sum	Ca_epm	Mg_epm	NaK_epm	HCO3CO3_epm	SO4_epm	CL_epm
57	2	5.233	4.806	47.678	40.875	11.447	78.423	8.656	12.921
58	2	6.85	5.737	64.832	21.62	13.547	71.989	15.234	12.777
59	2	0.375	0.334	13.333	21.867	64.8	19.76	12.575	67.665
60	2	9.013	7.941	47.065	21.003	31.932	30.613	36.708	32.679
61	2	6.179	6.241	16.961	2.67	80.369	64.076	7.002	28.922
62	2	3.441	3.208	87.01	7.178	5.812	89.9	1.309	8.791
63	2	4.173	3.177	51.426	17.757	30.817	37.142	25.559	37.299
64	2	4.951	4.588	57.443	33.246	9.311	77.877	10.44	11.683
65	2	14.199	13.939	35.848	39.411	24.741	68.197	4.484	27.319
66	2	8.456	8.153	45.447	40.87	13.683	42.61	45.971	11.419
67	2	7.355	6.803	64.46	21.251	14.29	54.211	27.547	18.242
68	2	4.119	4.341	78.757	15.975	5.268	89.864	6.243	3.893
69	2	7.962	7.54	66.441	20.673	12.886	45.212	41.698	13.09
70	2	14.768	13.176	43.926	40.121	15.953	25.372	51.51	23.118
71	2	1.142	1.147	8.757	43.257	47.986	14.298	21.796	63.906
72	2	4.84	4.43	58.76	35.702	5.537	93.16	0.474	6.366
73	2	6.489	6.019	53.83	31.7	14.471	54.178	28.011	17.81
74	2	4.446	4.21	62.865	27.755	9.379	73.967	17.316	8.717
75	2	3.84	3.647	88.359	6.432	5.208	86.729	4.003	9.268
76	2	12.611	12.008	43.525	13.052	43.422	38.899	16.472	44.629
77	2	5.746	5.932	64.271	31.5	4.229	46.696	49.494	3.81
78	2	5.462	5.396	50.256	37.66	12.083	82.005	9.637	8.358
79	2	4.973	4.599	84.295	9.934	5.771	87.671	4.979	7.349
80	2	4.454	4.185	51.549	40.638	7.813	93.978	3.99	2.031
81	2	7.543	7.28	27.787	5.449	66.764	10.81	24.876	64.313
82	2	5.883	5.188	64.474	6.986	28.54	72.648	5.609	21.742
83	2	14.691	14.336	41.1	28.004	30.896	44.81	33.545	21.645
84	2	6.157	5.043	55.92	32.077	12.003	59.806	22.288	17.906
85	2	8.479	8.059	60.62	37.846	1.533	94.354	2.842	2.804
86	2	12.065	12.279	49.217	33.419	17.364	56.194	15.091	28.716
87	2	30.305	28.204	52.529	37.743	9.728	17.838	74.263	7.9
88	2	18.716	17.748	36.797	30.776	32.427	42.388	34.725	22.887
89	2	18.019	18.291	31.017	42.927	26.056	46.952	11.722	41.326
90	2	6.205	5.972	66.753	26.527	6.72	86.336	9.411	4.253
91	2	3.976	3.711	84.079	8.275	7.646	86.553	2.802	10.644
92	2	6.995	5.493	67.062	17.641	15.297	66.539	18.569	14.892
93	2	7.865	8.201	55.207	38.716	6.078	58.956	35.544	5.499
94	2	17.541	16.801	52.916	34.245	12.838	23.118	63.449	13.434
95	2	9.609	10.068	56.083	28.255	15.662	53.884	23.987	22.13
96	2	7.18	4.121	32.66	53.872	13.468	64.814	26.28	8.906
97	2	8.275	8.673	43.42	54.695	1.885	70.668	26.404	2.929
98	2	30.604	28.415	37.505	8.068	54.428	18.744	8.791	72.465
99	2	4.502	4.548	16.637	5.486	77.876	54.046	15.567	30.387
100	2	5.096	4.935	40.149	51.668	8.183	74.732	18.987	6.282
101	2	6.371	6.282	56.396	15.492	28.112	62.098	15.903	21.999
102	2	5.685	4.853	70.22	14.477	15.303	77.663	10.715	11.622
103	2	0.939	0.866	5.325	26.305	68.371	39.723	4.85	55.427
104	2	2.586	2.491	81.052	9.551	9.397	84.223	3.332	12.445
105	2	11.953	11.315	54.689	37.179	8.132	45.117	47.654	7.229
106	2	4.463	4.192	72.687	16.603	10.71	78.984	10.926	10.091
107	2	9.514	9.777	52.975	45.838	1.188	69.234	28.751	2.015
108	2	5.025	4.736	74.488	22.925	2.587	92.04	4.392	3.568
109	2	18.636	17.809	55.699	34.884	9.417	22.545	66.051	11.404
110	2	6.052	5.299	51.95	39.425	8.625	77.316	12.568	10.115
111	2	7.491	6.69	61.287	29.662	9.051	52.422	37.04	10.538
112	2	15.535	15.34	27.95	31.252	40.798	28.631	23.748	47.621
113	2	5.197	5.402	72.984	25.342	1.674	89.8	6.553	3.647
114	2	7.191	6.392	54.819	26.325	18.857	48.967	30.288	20.745
115	2	5.733	4.885	50.48	22.972	26.548	46.96	14.923	38.117
116	2	19.673	18.039	17.501	25.517	56.982	22.08	9.119	68.801
117	2	4.338	4.371	42.554	47.418	10.028	73.988	8.579	17.433
118	2	12.4	12.456	29.379	18.581	52.04	38.158	8.855	52.987
119	2	14.586	14.104	24.29	41.183	34.526	36.025	13.578	50.397
120	2	5.467	5.335	66.636	25.59	7.774	81.406	10.141	8.454
121	2	6.986	6.885	40.009	30.618	29.373	63.558	1.206	35.236
122	2	15.615	14.493	39.629	20.551	39.821	22.018	42.952	35.031
123	2	5.965	5.963	35.977	15.172	48.852	62.67	9.425	27.905
124	2	15.144	14.422	53.381	42.38	4.239	38.635	57.454	3.911
125	2	17.741	17.854	35.161	22.265	42.574	35.068	9.796	55.136
126	2	6.533	5.975	78.677	11.342	9.98	75.163	4.536	20.301
127	2	8.931	8.398	46.378	33.165	20.457	68.695	11.157	20.148
128	2	5.903	4.935	53.261	27.884	18.855	77.71	0.0	22.29
129	2	4.597	4.326	60.801	35.806	3.394	92.557	2.89	4.554
130	2	4.904	4.56	35.624	18.454	45.922	32.697	7.303	60.0
131	2	12.026	11.189	50.208	26.002	23.79	29.878	44.66	25.463
132	2	3.341	2.815	83.658	9.847	6.495	75.702	16.27	8.028
133	2	5.433	5.036	68.894	18.167	12.939	78.753	3.316	17.931
134	2	12.919	12.186	43.262	29.94	26.798	50.566	27.679	21.754
135	2	4.307	4.14	81.101	15.277	3.622	83.14	10.048	6.812
136	2	6.175	5.676	75.968	8.0	16.032	80.849	6.237	12.914
137	2	6.677	4.993	82.956	4.927	12.116	64.671	7.09	28.24
138	2	3.444	3.307	66.667	26.278	7.056	83.248	5.655	11.098
139	2	6.458	6.404	32.456	29.312	38.232	28.67	28.607	42.723
140	2	4.498	4.23	83.215	10.983	5.803	86.407	4.917	8.676
141	2	10.238	9.069	61.418	24.917	13.665	74.992	11.942	13.066
142	2	2.973	2.769	78.877	13.824	7.299	87.613	5.273	7.114
143	2	3.389	2.991	66.273	29.124	4.603	90.405	4.881	4.714
144	2	28.831	27.568	44.137	25.972	29.891	25.029	39.876	35.095
145	2	6.055	6.286	69.232	27.184	3.584	91.25	6.952	1.798
146	2	12.714	11.434	33.365	28.48	38.155	49.309	3.822	46.869
147	2	7.005	6.839	57.702	27.024	15.275	75.961	11.259	12.78
148	2	8.953	12.308	63.543	11.024	25.433	37.415	8.962	53.624
149	2	18.646	19.521	64.234	22.949	12.818	13.852	69.966	16.183
150	2	8.532	7.099	71.355	12.541	16.104	39.245	14.664	46.091
151	2	5.026	4.867	59.57	34.381	6.049	85.083	8.547	6.369
152	2	14.124	12.454	45.929	13.983	40.088	30.263	15.377	54.36
